,Station,Latitude,Longitude,Zone,Postcode,Places to visit nearby,Fun fact
0,Abbey Road,51.5319519954729,0.0037233710983363,3,E15 3NB,-,-
1,Abbey Wood,51.4907842954371,0.120271970640651,4,SE2 9RH,Lesnes Abbey ruins,Terminus of the Elizabeth line since 2022
2,Acton Central,51.5087573512534,-0.263430195325689,2,W3 6BH,-,-
3,Acton Main Line,51.51688649516289,-0.267689948014248,3,W3 9EH,-,-
4,Acton Town,51.5030709863634,-0.280302696832724,3,W3 8HN,London Museum of Water & Steam,Junction of District and Piccadilly lines
5,Addington Village,51.356238539495,-0.032665100332062,3,CR0 5AR,-,-
6,Addiscombe,51.3798081721677,-0.0732132825198677,3,CR0 7AA,-,-
7,Albany Park,51.435815816166304,0.126444638720462,5,DA5 3HP,-,-
8,Aldgate,51.5143422574978,-0.0756269123224863,1,EC3N 1AH,"Tower of London
Tower Bridge",One of the historic gates of the City of London
9,Aldgate East,51.5150815056987,-0.0730014624207396,1,E1 7PT,"Whitechapel Gallery
Petticoat Lane Market",Close to historic Jack the Ripper sites
10,Alexandra Palace,51.598262628606,-0.120149084166515,3,N22 7ST,Alexandra Palace & Park,Victorian entertainment palace with panoramic views
11,All Saints,51.5104766666,-0.0126253333,2,E14 0EH,Mudchute Park nearby,DLR station serving Canary Wharf area
12,Alperton,51.5412090909,-0.299515909,4,HA0 4LL,-,-
13,Amersham,51.6741278421,-0.606514394,9,HP6 5AZ,Chiltern Hills walks,Terminus of the Metropolitan line
14,Ampere Way,51.382299,-0.123637,3,CR0 3JX,-,-
15,Anerley,51.412517,-0.065137,4,SE20 8PY,Crystal Palace Park,Named after Sir Walter Scott's novel
16,Angel,51.532968,-0.105581,1,N1 8XB,"Camden Passage Antiques Market
Islington Green",Has one of the longest escalators at 60 meters
17,Angel Road,51.612420,-0.048733,4,N18 3AY,-,-
18,Archway,51.565490,-0.135122,2,N19 5RQ,"Highgate Cemetery
Waterlow Park",Named after the Archway Road bridge
19,Arena,51.391523,-0.058319,3,SE25 4RY,-,-
20,Arnos Grove,51.616230,-0.134270,4,N11 1AN,Arnos Park,Beautiful Art Deco station by Charles Holden
21,Arsenal,51.558541,-0.105500,2,N5 1LP,"Emirates Stadium
Arsenal Museum",Only London station named after a football club
22,Avenue Road,51.406798,-0.049447,3,BR3 4NJ,-,-
23,Baker Street,51.523129,-0.156904,1,NW1 5LA,"Sherlock Holmes Museum
Madame Tussauds
Regent's Park",World's first underground railway station (1863)
24,Balham,51.443182,-0.152685,3,SW12 9SG,Bedford Tavern comedy venue,Known as the Gateway to the South
25,Bank,51.513347,-0.089000,1,EC3V 3LA,"Bank of England Museum
Royal Exchange",Complex serving 6 different tube lines
26,Banstead,51.329293,-0.213132,6,SM7 1RB,-,-
27,Barbican,51.520215,-0.097722,1,EC1A 4JA,"Barbican Centre
Museum of London",Deepest station below street level at 35 meters
28,Barking,51.539521,0.080832,4,IG11 8TU,"Barking Abbey ruins
Eastbury Manor House",Abbey ruins date back to 666 AD
29,Barkingside,51.585851,0.088477,4,IG6 1NB,Fairlop Waters Country Park,-
30,Barnehurst,51.464781,0.160948,6,DA7 6HQ,-,-
31,Barnes,51.467127,-0.242033,3,SW13 0LW,"London Wetland Centre
Barnes Common",Retains village atmosphere within London
32,Barnes Bridge,51.472228,-0.252363,3,SW13 0NR,Olympic rowing venue nearby,Near the Oxford and Cambridge Boat Race finish
33,Barons Court,51.490228,-0.213430,2,W14 9DP,Queen's Club tennis venue,Junction of District and Piccadilly lines
34,Battersea Park,51.477318,-0.148124,2,SW8 4NB,"Battersea Park
Peace Pagoda",Home to a Victorian pleasure garden
35,Battersea Power Station,51.479496,-0.142001,1,SW11 8AL,Battersea Power Station,Newest station opened in September 2021
36,Bayswater,51.512111,-0.187902,1,W2 4QH,"Hyde Park
Diana Memorial Playground",Historic area with Victorian garden squares
37,Beckenham Hill,51.424626,-0.016496,4,SE6 3NU,-,-
38,Beckenham Junction,51.410942,-0.025702,4,BR3 1HY,Beckenham Place Park,Historic mansion in parkland setting
39,Beckenham Road,51.409530,-0.043392,3,BR3 4RR,-,-
40,Beckton,51.514377,0.061525,3,E6 5NT,Thames Path walks,Built on former gasworks site
41,Beckton Park,51.508901,0.054822,3,E6 5NE,-,-
42,Becontree,51.539586,0.126880,5,RM9 4TP,Valence House Museum,Serves Britain's largest council estate
43,Beddington Lane,51.389240,-0.142138,3,CR0 4TF,-,-
44,Belgrave Walk,51.400961,-0.178496,3,CR4 4NY,-,-
45,Bellingham,51.433865,-0.020412,3,SE6 3BT,-,-
46,Belmont,51.344120,-0.199489,5,SM2 6BH,-,-
47,Belsize Park,51.550191,-0.163974,2,NW3 2AL,Hampstead Heath nearby,Elegant Art Deco station building
48,Belvedere,51.491959,0.152034,5,DA17 6JW,-,-
49,Bermondsey,51.497961,-0.064330,2,SE16 4RX,"Fashion and Textile Museum
Bermondsey Street galleries",Historic warehouse and antiques district
50,Berrylands,51.398768,-0.280321,5,KT5 8LT,-,-
51,Bethnal Green,51.527192,-0.055392,2,E2 0ET,"V&A Museum of Childhood
Columbia Road Flower Market",Site of worst civilian disaster in WWII
52,Bethnal Green Rail,51.524283,-0.060014,2,E2 6JL,-,-
53,Bexley,51.440815,0.148204,6,DA5 1AQ,Danson Park and House,Historic market town with Georgian architecture
54,Bexleyheath,51.463550,0.133363,5,DA7 4AA,"Red House by William Morris
Danson House",Arts and Crafts movement connections
55,Bickley,51.400380,0.044304,5,BR1 2EB,-,-
56,Birkbeck,51.403863,-0.056286,4,BR3 4TA,-,-
57,Blackfriars,51.511587,-0.102995,1,EC4V 4DD,"Tate Modern
Millennium Bridge",Only station built over the River Thames
58,Blackheath,51.465408,0.008337,3,SE3 9LE,"Blackheath Common
Ranger's House",Historic heath with Georgian terraces
59,Blackhorse Lane,51.384746,-0.070534,3,CR0 6NL,-,-
60,Blackhorse Road,51.585777,-0.039626,3,E17 6JJ,Walthamstow Wetlands,Gateway to Europe's largest urban wetland
61,Blackwall,51.507832,-0.007235,2,E14 9QB,Thames Path,Historic riverside location
62,Bond Street,51.513797,-0.149614,1,W1C 2HU,"Oxford Street shopping
Wallace Collection",Serves London's most exclusive shopping area
63,Borough,51.501049,-0.094197,1,SE1 1JX,"Borough Market
Southwark Cathedral",Borough Market has traded since the 13th century
64,Boston Manor,51.495765,-0.324747,4,TW8 9LQ,Boston Manor House,17th-century Jacobean manor house
65,Bounds Green,51.607032,-0.124177,3,N11 2EU,-,-
66,Bow Church,51.527615,-0.020500,2,E3 3AA,-,-
67,Bow Road,51.527042,-0.024360,2,E3 4DH,Roman Road Market,Historic East End market street
68,Bowes Park,51.607249,-0.119792,3,N22 8NL,-,-
69,Brent Cross,51.576599,-0.213336,3,NW11 9UA,Brent Cross Shopping Centre,One of London's first major shopping malls
70,Brentford,51.487536,-0.309623,4,TW8 9LF,"Musical Museum
Syon House and Park",Former county town of Middlesex
71,Brentwood,51.613611,0.299673,7,CM14 4EW,Brentwood Cathedral,Essex market town
72,Brimsdown,51.655245,-0.031092,5,EN3 7NA,-,-
73,Brixton,51.462737,-0.114552,2,SW9 8HE,"Brixton Market
Electric Avenue
O2 Academy Brixton",First deep-level tube station south of Thames
74,Brockley,51.464750,-0.037748,2,SE4 2RW,-,-
75,Bromley North,51.408942,0.017235,4,BR1 3NN,-,-
76,Bromley South,51.400001,0.017360,5,BR1 1LX,"Churchill Theatre
Bromley Museum",Major shopping and cultural center for Kent
77,Bromley-by-Bow,51.524840,-0.011682,2,E3 3BT,"Three Mills Island
House Mill",Historic tidal mills and gin distillery
78,Brondesbury,51.545262,-0.202838,2,NW6 7QL,-,-
79,Brondesbury Park,51.540325,-0.210474,2,NW6 6RP,-,-
80,Broxbourne,51.747016,-0.011024,9,EN10 7AW,Lee Valley Regional Park,Gateway to countryside and waterways
81,Bruce Grove,51.594011,-0.070399,3,N17 8AD,-,-
82,Buckhurst Hill,51.626577,0.046713,5,IG9 5ET,Epping Forest,Gateway to ancient royal hunting forest
83,Burnham,51.523504,-0.646388,9,SL1 6JT,-,-
84,Burnt Oak,51.602551,-0.264331,4,HA8 0LA,-,-
85,Bush Hill Park,51.641482,-0.069280,5,EN1 1BA,-,-
86,Bushey,51.645544,-0.384722,8,WD19 4ST,-,-
87,Caledonian Road,51.547885,-0.118361,2,N7 9BA,-,-
88,Caledonian Road and Barnsbury,51.543284,-0.115205,2,N1 0SL,-,-
89,Cambridge Heath,51.532060,-0.057203,2,E2 7NA,Victoria Park nearby,Close to London's first public park
90,Camden Road,51.541851,-0.139203,2,NW1 9LQ,-,-
91,Camden Town,51.539969,-0.142452,2,NW1 8NH,"Camden Market
Regent's Canal",Famous for alternative culture and weekend markets
92,Canada Water,51.498168,-0.050807,2,SE16 7BB,Surrey Quays Shopping Centre,Built on former dock with water features
93,Canary Wharf,51.503578,-0.019467,2,E14 4QS,"One Canada Square
Museum of London Docklands",Serves UK's second largest financial district
94,Canning Town,51.513870,0.008306,3,E16 1DQ,-,Major regeneration area and transport hub
95,Cannon Street,51.511362,-0.090251,1,EC4N 6AP,"St Paul's Cathedral nearby
London Stone",Historic Roman road terminus
96,Canonbury,51.548188,-0.092574,2,N1 2PG,"Estorick Collection
Canonbury Square",Georgian square with contemporary art gallery
97,Canons Park,51.607650,-0.294392,5,HA8 6RN,-,-
98,Carpenders Park,51.628186,-0.385829,7,WD19 7DT,-,-
99,Carshalton,51.368426,-0.166398,5,SM5 2HT,"Honeywood Museum
Carshalton Ponds",Historic village with natural chalk springs
100,Carshalton Beeches,51.357387,-0.169496,5,SM5 3LG,-,-
101,Castle Bar Park,51.522973,-0.331504,4,W7 1AY,-,-
102,Caterham,51.282163,-0.078607,6,CR3 6LB,-,Surrey market town
103,Catford,51.444265,-0.026538,3,SE6 4XT,Broadway Theatre,-
104,Catford Bridge,51.444695,-0.024822,3,SE6 4RE,-,-
105,Centrale,51.375767,-0.103888,3,CR0 1XT,-,-
106,Chadwell Heath,51.568047,0.128901,5,RM6 4BE,-,-
107,Chafford Hundred,51.485555,0.287476,7,RM16 6QQ,-,Modern new town development
108,Chalfont and Latimer,51.667907,-0.561068,8,HP7 9PR,Chess Valley walks,Historic Chilterns village
109,Chalk Farm,51.544149,-0.153733,2,NW3 2BP,"Roundhouse
Camden Market nearby",Former railway engine shed turned arts venue
110,Chancery Lane,51.518494,-0.111962,1,WC1V 6DR,"Sir John Soane's Museum
Lincoln's Inn Fields",Heart of London's legal district
111,Charing Cross,51.508358,-0.124803,1,WC2N 5HS,"National Gallery
Trafalgar Square",Official center of London for distance measurements
112,Charlton,51.486835,0.030942,3,SE7 7AB,"Charlton House
Thames Barrier",Jacobean mansion and flood defense system
113,Cheam,51.355460,-0.214211,5,SM3 8RZ,-,-
114,Chelsfield,51.356265,0.108984,6,BR6 6EU,-,-
115,Chesham,51.705379,-0.611430,9,HP5 1DH,"Chesham Museum
Chess Valley walks",Chilterns market town terminus
116,Cheshunt,51.702873,-0.023887,8,EN8 9AQ,Lee Valley Regional Park,Gateway to countryside and waterways
117,Chessington North,51.364243,-0.300476,6,KT9 2RT,-,-
118,Chessington South,51.356704,-0.307089,6,KT9 2DD,Chessington World of Adventures,Theme park and zoo attraction
119,Chigwell,51.617858,0.076179,4,IG7 6NT,-,Featured in TV series The Only Way Is Essex
120,Chingford,51.633253,0.009514,5,E4 6AL,"Queen Elizabeth's Hunting Lodge
Epping Forest",Royal hunting lodge in ancient forest
121,Chipstead,51.309275,-0.169446,6,CR5 3TD,-,-
122,Chislehurst,51.405599,0.057492,5,BR7 5NN,Chislehurst Caves,Underground chalk caves and tunnels
123,Chiswick,51.480781,-0.267013,3,W4 2QE,"Hogarth's House
Chiswick House and Gardens",Historic artist's house and Palladian villa
124,Chiswick Park,51.494370,-0.267737,3,W4 5NE,-,Modern business park development
125,Chorleywood,51.654265,-0.518334,7,WD3 5ND,Chorleywood Common,Chilterns countryside location
126,Church Street,51.373706,-0.104347,3,CR0 1RN,-,-
127,City Thameslink,51.513935,-0.103618,1,EC4M 7JH,-,Connects north-south London rail networks
128,Clapham Common,51.461803,-0.138315,2,SW4 7AJ,"Clapham Common
Holy Trinity Clapham",Large historic common and evangelical church
129,Clapham High Street,51.465469,-0.132465,2,SW4 6DQ,-,-
130,Clapham Junction,51.464367,-0.170315,2,SW11 2QP,-,Busiest railway junction in Europe
131,Clapham North,51.464916,-0.129910,2,SW4 7TS,-,-
132,Clapham South,51.452676,-0.147984,2,SW12 9DU,-,-
133,Clapton,51.561569,-0.057489,2,E5 9JP,-,-
134,Clock House,51.408540,-0.040702,4,BR3 4PR,-,-
135,Cockfosters,51.652024,-0.149917,5,EN4 0DZ,-,Northern terminus of the Piccadilly line
136,Colindale,51.595230,-0.250288,4,NW9 5HR,RAF Museum London,World-class aviation museum collection
137,Colliers Wood,51.418759,-0.177415,3,SW19 2HR,-,-
138,Coombe Lane,51.359789,-0.059532,3,CR0 5RF,-,-
139,Coulsdon South,51.315801,-0.137903,6,CR5 3EA,-,-
140,Coulsdon Town,51.322453,-0.134347,6,CR5 2JA,-,-
141,Covent Garden,51.512760,-0.124507,1,WC2E 9JT,"Royal Opera House
Covent Garden Market
London Transport Museum",Famous for street performers and former fruit market
142,Crayford,51.448547,0.178503,6,DA1 3PY,-,-
143,Crews Hill,51.684474,-0.106844,6,EN2 8AY,Garden centers and nurseries,Famous for plant nurseries and gardening
144,Cricklewood,51.558422,-0.212548,3,NW2 1HL,-,-
145,Crofton Park,51.455179,-0.036547,3,SE4 2RA,-,-
146,Crossharbour,51.495840,-0.014933,2,E14 8AD,Mudchute Park and Farm,Urban farm in London's Docklands
147,Crouch Hill,51.571327,-0.117133,3,N4 4AU,-,-
148,Croxley,51.647005,-0.441604,7,WD3 3DY,-,-
149,Crystal Palace,51.418170,-0.072607,3,SE19 2AZ,"Crystal Palace Park
National Sports Centre",Site of the original Victorian Great Exhibition building
150,Custom House,51.509622,0.025773,3,E16 3BX,-,-
151,Cutty Sark for Maritime Greenwich,51.481944,-0.010582,2,SE10 9SW,"Cutty Sark
National Maritime Museum
Royal Observatory
Greenwich Park",Home of Greenwich Mean Time and Prime Meridian
152,Cyprus,51.508527,0.063841,3,E6 5PH,-,-
153,Dagenham Dock,51.526287,0.145031,5,RM9 6RA,-,-
154,Dagenham East,51.544188,0.165833,5,RM10 8AA,-,-
155,Dagenham Heathway,51.541212,0.147680,5,RM9 5AN,-,-
156,Dalston Junction,51.546094,-0.074994,2,E8 3DL,Rio Cinema,Historic independent art house cinema
157,Dalston Kingsland,51.548668,-0.076227,2,E8 2JS,-,-
158,Debden,51.645492,0.083801,6,IG10 3TG,-,Essex countryside location
159,Denmark Hill,51.468200,-0.090988,2,SE5 8BB,"King's College Hospital
Maudsley Hospital",Major teaching hospital complex
160,Deptford,51.478890,-0.026196,2,SE8 3NU,-,Historic naval dockyard area
161,Deptford Bridge,51.474477,-0.022052,2,SE10 8BU,-,-
162,Devons Road,51.522258,-0.018008,2,E3 3QX,-,-
163,Dollis Hill,51.551850,-0.238798,3,NW10 5NB,Gladstone Park,Historic mansion and parkland
164,Drayton Green,51.516004,-0.329611,4,W13 0JX,-,-
165,Drayton Park,51.553078,-0.105770,2,N5 1NT,-,-
166,Dundonald Road,51.417398,-0.207527,3,SW19 3QJ,-,-
167,Ealing Broadway,51.514861,-0.302010,3,W5 2NU,"Pitzhanger Manor Gallery
Walpole Park",Historic Sir John Soane designed manor
168,Ealing Common,51.510248,-0.287151,3,W5 3LD,Ealing Common parkland,Large historic common and green space
169,Earls Court,51.491356,-0.194314,1,SW5 9QA,-,Former major exhibition venue location
170,Earlsfield,51.442239,-0.187273,3,SW18 4SW,-,-
171,East Acton,51.516263,-0.248112,2,W12 0BP,-,-
172,East Croydon,51.375716,-0.091863,5,CR0 1LF,-,Major transport interchange for South London
173,East Dulwich,51.461625,-0.080437,2,SE22 8EF,Dulwich Picture Gallery,World's first purpose-built public art gallery
174,East Finchley,51.587332,-0.164744,3,N2 0NW,-,-
175,East Ham,51.539246,0.051516,3,E6 2JA,-,-
176,East India,51.508684,-0.002370,2,E14 9PS,-,Named after the East India Company
177,East Putney,51.458879,-0.210998,2,SW15 6SN,-,-
178,Eastcote,51.576551,-0.396823,5,HA5 1QZ,-,-
179,Eden Park,51.390796,-0.026670,5,BR3 3HQ,-,-
180,Edgware,51.614229,-0.275094,5,HA8 7AW,-,Northern terminus of the Northern line
181,Edgware Road,51.520645,-0.170540,1,W2 1DY,-,Historic Roman road Watling Street route
182,Edgware Road,51.519998,-0.167668,1,NW1 5DH,-,Historic Roman road Watling Street route
183,Edmonton Green,51.625116,-0.061639,4,N9 9DX,-,-
184,Elephant and Castle,51.495849,-0.100739,1,SE1 6LW,"Imperial War Museum
Shopping Centre",Historic road junction with major regeneration
185,Elm Park,51.549125,0.197253,6,RM12 4RW,-,-
186,Elmers End,51.398291,-0.049464,4,BR3 4EJ,-,-
187,Elmstead Woods,51.417081,0.044229,4,BR7 5EW,-,-
188,Elstree and Borehamwood,51.652875,-0.279829,6,WD6 3LS,Elstree Studios,Historic film and television studios
189,Eltham,51.455662,0.052329,4,SE9 6UB,"Eltham Palace
Well Hall Pleasaunce",Art Deco palace with medieval great hall
190,Elverson Road,51.468372,-0.016816,2,SE8 4LA,-,-
191,Embankment,51.507312,-0.122367,1,WC2N 6NS,"Victoria Embankment Gardens
Cleopatra's Needle
Somerset House",Built on reclaimed land from the Thames
192,Emerson Park,51.569115,0.220223,6,RM11 2JR,-,-
193,Enfield Chase,51.652722,-0.090704,5,EN2 7AA,-,-
194,Enfield Lock,51.670846,-0.028391,6,EN3 6BW,-,-
195,Enfield Town,51.651970,-0.079330,5,EN1 1YB,-,-
196,Epping,51.693686,0.113826,6,CM16 4HW,Epping Forest,Gateway to ancient royal hunting forest
197,Epsom Downs,51.323659,-0.238970,6,KT17 4JX,"Epsom Downs Racecourse
Epsom Common",Famous for the Derby horse race
198,Erith,51.481648,0.174261,6,DA8 1TY,-,Historic riverside town on Thames
199,Essex Road,51.540633,-0.096366,2,N1 2SU,-,-
200,Euston,51.528664,-0.133296,1,NW1 2DU,"British Library
Wellcome Collection",Major railway terminus since 1837
201,Euston Square,51.528664,-0.133296,1,NW1 2BN,-,-
202,Fairlop,51.596194,0.090506,4,IG6 2QG,Fairlop Waters Country Park,-
203,Falconwood,51.467098,0.124107,4,SE9 2JY,-,-
