,Station,Latitude,Longitude,Zone,Postcode,Places to visit nearby,Fun fact
404,Victoria,51.496111,-0.142778,1,SW1V 1JT,"Victoria Palace Theatre
Buckingham Palace
Westminster Cathedral",Major transport hub and royal area
405,Walthamstow Central,51.582778,-0.020278,3,E17 7JR,William Morris Gallery,Arts and Crafts movement connections
406,Wanstead,51.577222,0.029167,3,E11 2LW,Wanstead Park,Historic parkland and lake
407,Warren Street,51.524444,-0.138889,1,W1T 5LH,"University College London
Fitzroy Square",Georgian architecture and university area
408,Warwick Avenue,51.523611,-0.184722,2,W9 2PD,"Little Venice
Regent's Canal",Victorian mansion blocks and canal basin
409,Waterloo,51.503056,-0.114722,1,SE1 7LY,"London Eye
South Bank Centre
National Theatre
Old Vic",Europe's busiest railway station complex
410,Watford,51.657778,-0.418611,7,WD17 1AP,"Cassiobury Park
Watford Museum",Historic market town in Hertfordshire
411,Wembley Central,51.552222,-0.296944,4,HA9 0EJ,-,-
412,Wembley Park,51.563889,-0.279722,4,HA9 0WS,"Wembley Stadium
SSE Arena",National stadium and major events venue
413,West Acton,51.518056,-0.280833,3,W3 0DS,-,-
414,West Brompton,51.487222,-0.195,-,SW10 9JA,"Chelsea FC nearby
Brompton Cemetery",Historic Victorian cemetery
415,West Croydon,51.378611,-0.102778,5,CR0 2TA,-,Major transport interchange
416,West Dulwich,51.442778,-0.096944,3,SE21 7DF,Dulwich Park,Beautiful Victorian park
417,West Finchley,51.609167,-0.188333,4,N3 1PB,-,-
418,West Ham,51.528611,-0.005833,2,E15 1EN,"Queen Elizabeth Olympic Park
London Stadium",2012 Olympics legacy area
419,West Hampstead,51.547222,-0.190556,2,NW6 2SB,-,Victorian residential area
420,West Harrow,51.580556,-0.355556,5,HA1 3EF,-,-
421,West India Quay,51.507222,-0.020556,2,E14 4QZ,Museum of London Docklands,Historic dock and museum
422,West Kensington,51.490556,-0.206111,2,W14 9NL,-,-
423,West Ruislip,51.569722,-0.437222,6,HA4 7DL,-,Metropolitan line terminus
424,Westbourne Park,51.521111,-0.201667,2,W11 1AB,Portobello Road nearby,Close to famous antiques market
425,Westminster,51.500833,-0.124722,1,SW1A 0AA,"Houses of Parliament
Big Ben
Westminster Abbey
St James's Park",Heart of British government and democracy
426,White City,51.512222,-0.223889,2,W12 7GF,"Television Centre
Westfield Shopping Centre",BBC Television Centre and major shopping
427,Whitechapel,51.519444,-0.060556,2,E1 1BJ,"Whitechapel Gallery
Royal London Hospital
Jack the Ripper sites",Historic East End area with dark history
428,Willesden Green,51.549167,-0.221667,2,NW2 5RP,-,-
429,Willesden Junction,51.532222,-0.244722,3,NW10 4SU,-,Major railway junction
430,Wimbledon,51.421111,-0.206111,3,SW19 1SB,"All England Lawn Tennis Club
Wimbledon Common
Centre Court Shopping",World-famous tennis championships venue
431,Wimbledon Park,51.434444,-0.199722,3,SW19 6NL,Wimbledon Park,Large park with lake
432,Wood Green,51.597222,-0.109444,3,N22 6XD,Alexandra Palace nearby,Major shopping center
433,Woodford,51.607222,0.034444,4,IG8 0ST,-,-
434,Woodside Park,51.617778,-0.185556,4,N12 8RY,-,-
435,Woolwich Arsenal,51.491562,0.068834,4,SE18 4DG,"Royal Arsenal
Thames Path",Historic military arsenal site
436,Woolwich,51.492208,0.063236,4,SE18 6SS,"Greenwich foot tunnel
Thames Barrier nearby",Historic dockyard area
437,Worcester Park,51.381944,-0.238889,4,KT4 7NE,-,-
438,Yiewsley,51.512222,-0.465556,5,UB7 9LH,-,-
439,York Road,51.345556,-0.157222,6,KT19 8AG,-,-
440,Zone 3 Greenford,51.542271,-0.345544,4,UB6 9AA,-,-
441,Abbey Mills,51.533333,-0.004167,3,E15 2RW,-,-
442,Addington,51.364444,-0.032222,3,CR0 5AR,-,-
443,Ampere Way,51.382299,-0.123637,3,CR0 3JX,-,-
444,Ashtead,51.316667,-0.302222,6,KT21 2QJ,-,-
445,Banstead,51.329293,-0.213132,6,SM7 1RB,-,-
446,Beddington Lane,51.389240,-0.142138,3,CR0 4TF,-,-
447,Belgrave Walk,51.400961,-0.178496,3,CR4 4NY,-,-
448,Birkbeck,51.403863,-0.056286,4,BR3 4TA,-,-
449,Blackhorse Lane,51.384746,-0.070534,3,CR0 6NL,-,-
450,Centrale,51.375767,-0.103888,3,CR0 1XT,-,-
451,Church Street,51.373706,-0.104347,3,CR0 1RN,-,-
452,Coombe Lane,51.359789,-0.059532,3,CR0 5RF,-,-
453,East Croydon,51.375716,-0.091863,5,CR0 1LF,-,Major transport interchange for South London
454,Epsom,51.336111,-0.269167,6,KT17 1BH,"Epsom Downs Racecourse
Epsom Common",Famous spa town and horse racing venue
455,Fieldway,51.377281,-0.147421,3,CR0 4QS,-,-
456,George Street,51.377000,-0.099800,3,CR0 1PE,-,-
457,Gravel Hill,51.373000,-0.086500,4,CR0 5BB,-,-
458,Harrington Road,51.384300,-0.122900,3,CR0 2XA,-,-
459,King Henry's Drive,51.366700,-0.125800,4,CR0 8AQ,-,-
460,Lebanon Road,51.378000,-0.113600,3,CR0 2PL,-,-
461,Lloyd Park,51.384200,-0.099300,4,CR0 5EU,-,-
462,Merton Park,51.403889,-0.205278,4,SW19 3NT,-,-
463,Mitcham,51.396389,-0.168333,4,CR4 2HD,-,-
464,Mitcham Eastfields,51.413056,-0.163611,4,CR4 1DU,-,-
465,Mitcham Junction,51.395,-0.155556,4,CR4 4FB,-,-
466,Morden Road,51.401667,-0.189444,4,SW19 3HH,-,-
467,Phipps Bridge,51.401111,-0.175556,4,CR4 4DZ,-,-
468,Reeves Corner,51.378300,-0.098600,4,CR0 2RH,-,-
469,Sandilands,51.376389,-0.065278,4,CR0 6BJ,-,-
470,South Wimbledon,51.415278,-0.193056,3,SW19 1DT,-,-
471,Therapia Lane,51.366100,-0.105000,4,CR0 3RD,-,-
472,Waddon Marsh,51.365556,-0.115556,4,CR0 4AA,-,-
473,Wandle Park,51.381900,-0.127700,3,CR0 4ES,-,-
474,West Croydon,51.378611,-0.102778,5,CR0 2TA,-,Major transport interchange
475,Wellesley Road,51.371700,-0.088900,4,CR0 2AH,-,-
476,Wimbledon,51.421111,-0.206111,3,SW19 1SB,"All England Lawn Tennis Club
Wimbledon Common
Centre Court Shopping",World-famous tennis championships venue
477,Woodside,51.378900,-0.086400,4,CR0 6QQ,-,-
478,Addiscombe,51.3798081721677,-0.0732132825198677,3,CR0 7AA,-,-
479,Arena,51.391523,-0.058319,3,SE25 4RY,-,-
480,Avenue Road,51.406798,-0.049447,3,BR3 4NJ,-,-
481,Beccles,51.379,-0.075,4,CR0 6AA,-,-
482,Beckenham Junction,51.410942,-0.025702,4,BR3 1HY,Beckenham Place Park,Historic mansion in parkland setting
483,Beckenham Road,51.409530,-0.043392,3,BR3 4RR,-,-
484,Birkbeck,51.403863,-0.056286,4,BR3 4TA,-,-
485,Clock House,51.408540,-0.040702,4,BR3 4PR,-,-
486,Elmers End,51.398291,-0.049464,4,BR3 4EJ,-,-
487,Harrington Road,51.405000,-0.055000,4,BR3 4NN,-,-
488,Hayes,51.370814,0.005681,5,BR2 7EG,-,-
489,Kent House,51.407500,-0.041000,4,BR3 1JQ,-,-
490,New Addington,51.354167,-0.044167,5,CR0 0AA,-,New town development from 1930s
491,Penge East,51.407222,-0.054444,4,SE20 7EZ,-,-
492,Penge West,51.413056,-0.067222,4,SE20 7JN,-,-
493,Petts Wood,51.388889,0.055556,5,BR5 1LG,-,-
494,Shortlands,51.403333,-0.001944,5,BR2 0PH,-,-
495,St Mary Cray,51.388611,0.109444,6,BR5 3QJ,-,-
496,Sydenham,51.434167,-0.053611,3,SE26 5EW,-,-
497,West Wickham,51.366667,-0.013611,5,BR4 0NT,-,-
498,Woodside Park,51.617778,-0.185556,4,N12 8RY,-,-
499,Angel Road,51.612420,-0.048733,4,N18 3AY,-,-
500,Bruce Grove,51.594011,-0.070399,3,N17 8AD,-,-
501,Meridian Water,51.615,-0.048333,4,N9 0TZ,-,Major regeneration area
502,Northumberland Park,51.603333,-0.053056,4,N17 0XN,-,-
503,Ponders End,51.650556,-0.035556,5,EN3 4HA,-,-
504,Silver Street,51.616389,-0.069167,4,N18 1PJ,-,-
505,Southbury,51.651944,-0.052222,5,EN1 1YQ,-,-
506,Tottenham Hale,51.588333,-0.059722,3,N17 9LH,Lee Valley Regional Park nearby,Gateway to countryside
507,Turkey Street,51.676389,-0.043611,6,EN1 4HA,-,-
508,White Hart Lane,51.603056,-0.065278,4,N17 8HR,-,-
509,Broxbourne,51.747016,-0.011024,9,EN10 7AW,Lee Valley Regional Park,Gateway to countryside and waterways
510,Cheshunt,51.702873,-0.023887,8,EN8 9AQ,Lee Valley Regional Park,Gateway to countryside and waterways
511,Enfield Lock,51.670846,-0.028391,6,EN3 6BW,-,-
512,Hertford East,51.794722,-0.076111,8,SG14 1EZ,-,Historic market town
513,Rye House,51.769444,-0.018611,8,EN11 0EH,-,Historic gatehouse and nature reserve
514,St Margarets,51.769167,-0.033333,8,EN11 9AY,-,-
515,Ware,51.81,-0.028611,8,SG12 9DE,-,Medieval market town on River Lea
516,Roydon,51.771667,-0.042222,8,CM19 5HN,-,-
517,Harlow Mill,51.774167,-0.098056,7,CM20 2HU,-,-
518,Harlow Town,51.775833,-0.103611,7,CM20 1HA,-,Post-war new town
519,Sawbridgeworth,51.807778,0.161667,8,CM21 9JY,-,Historic market town
520,Bishop's Stortford,51.866111,0.158611,8,CM23 3AT,-,Historic market town
521,Stansted Mountfitchet,51.902778,0.194444,8,CM24 8BZ,-,Castle and medieval village
522,Stansted Airport,51.888056,0.235,8,CM24 1QW,Stansted Airport,Major international airport
523,Elsenham,51.925,0.265556,9,CM22 6DB,-,Historic Essex village
524,Newport,52.033056,0.289722,9,CB11 3PL,-,Historic market town
525,Audley End,52.023889,0.283056,9,CB11 4JF,Audley End House,English Heritage stately home
526,Great Chesterford,52.054167,0.257778,9,CB10 1NY,-,Roman settlement site
527,Whittlesford Parkway,52.098333,0.170833,9,CB22 4NL,-,-
528,Cambridge,52.194167,0.137778,9,CB1 2JW,"Cambridge University
King's College Chapel
River Cam punting",Historic university city
529,Shelford,52.148611,0.142222,9,CB22 3AD,-,-
530,Foxton,52.086667,0.0625,9,CB22 6RN,-,Historic inclined plane on canal
531,Meldreth,52.083611,-0.006389,9,SG8 6LJ,-,-
532,Shepreth,52.103889,-0.035556,9,SG8 6PZ,Shepreth Wildlife Park,Local wildlife conservation center
533,Royston,52.046111,-0.022778,8,SG8 9AY,-,Historic market town
534,Ashwell and Morden,51.996667,-0.158056,8,SG7 5NL,-,Historic villages
535,Baldock,51.951944,-0.192778,7,SG7 6AB,-,Historic market town
536,Letchworth Garden City,51.978333,-0.227778,7,SG6 3BJ,-,World's first garden city
537,Hitchin,51.948889,-0.285,7,SG5 1HN,-,Historic market town
538,Arlesey,52.025,-0.262222,8,SG15 6SL,-,-
539,Biggleswade,52.088611,-0.265278,8,SG18 0JQ,-,Market town
540,Sandy,52.134167,-0.297778,8,SG19 1AQ,-,Market town
541,St Neots,52.231944,-0.266944,9,PE19 1AB,-,Historic market town on River Great Ouse
542,Huntingdon,52.330556,-0.178611,9,PE29 3QQ,-,Historic market town
543,St Ives,52.330833,-0.073333,9,PE27 5BW,-,Medieval market town
544,Cambridge North,52.219722,0.152778,9,CB4 0DL,-,New station opened 2017
545,Waterbeach,52.261389,0.197778,9,CB25 9HP,-,-
546,Ely,52.396944,0.262222,9,CB7 4PW,Ely Cathedral,Norman cathedral and historic market town
547,Littleport,52.458611,0.309444,9,CB6 1PY,-,-
548,Downham Market,52.607222,0.387222,9,PE38 9HF,-,Norfolk market town
549,Watlington,52.666944,0.448333,9,PE33 0HT,-,-
550,King's Lynn,52.756389,0.404167,9,PE30 1QH,"Custom House
True's Yard Fisherfolk Museum",Historic port and market town
551,Marks Tey,51.875,0.676667,8,CO6 1EG,-,-
552,Kelvedon,51.849722,0.636944,8,CO5 9AH,-,Historic village
553,Witham,51.801389,0.634722,8,CM8 2LB,-,Market town
554,Hatfield Peverel,51.774722,0.588333,8,CM3 2DW,-,-
555,Chelmsford,51.735833,0.479167,7,CM1 1HT,Chelmsford Cathedral,Essex county town and city
556,Ingatestone,51.669167,0.383889,7,CM4 9BX,-,Historic market town
557,Shenfield,51.635556,0.325,6,CM15 8BT,-,-
558,Brentwood,51.613611,0.299673,7,CM14 4EW,Brentwood Cathedral,Essex market town
559,Harold Wood,51.578579,0.225043,6,RM3 0QW,-,-
560,Gidea Park,51.579498,0.204468,6,RM2 6BX,-,-
561,Romford,51.574722,0.183056,6,RM1 3AR,-,Major shopping center
562,Chadwell Heath,51.568047,0.128901,5,RM6 4BE,-,-
563,Goodmayes,51.553333,0.115278,4,IG3 9UU,-,-
564,Seven Kings,51.549167,0.104167,4,IG3 8BY,-,-
565,Ilford,51.558611,0.083611,4,IG1 1DE,-,Major shopping center
566,Manor Park,51.553056,0.045833,3,E12 5DY,-,-
567,Forest Gate,51.548889,0.025,3,E7 8HA,-,-
568,Maryland,51.546944,0.006389,4,E15 1JH,-,-
569,Stratford,51.541667,-0.003889,3,E15 1XD,"Queen Elizabeth Olympic Park
Westfield Stratford City
London Stadium",2012 Olympics legacy site
570,West Ham,51.528611,-0.005833,2,E15 1EN,"Queen Elizabeth Olympic Park
London Stadium",2012 Olympics legacy area
571,Plaistow,51.530833,-0.017222,3,E13 0AD,-,-
572,Upton Park,51.535,-0.034722,3,E13 9AZ,-,-
573,East Ham,51.539246,0.051516,3,E6 2JA,-,-
574,Barking,51.539521,0.080832,4,IG11 8TU,"Barking Abbey ruins
Eastbury Manor House",Abbey ruins date back to 666 AD
575,Upney,51.538889,0.101944,4,RM9 4TP,-,-
576,Becontree,51.539586,0.126880,5,RM9 4TP,Valence House Museum,Serves Britain's largest council estate
577,Dagenham Heathway,51.541212,0.147680,5,RM9 5AN,-,-
578,Dagenham East,51.544188,0.165833,5,RM10 8AA,-,-
579,Elm Park,51.549125,0.197253,6,RM12 4RW,-,-
580,Hornchurch,51.557194,0.220031,6,RM12 4QP,-,-
581,Emerson Park,51.569115,0.220223,6,RM11 2JR,-,-
582,Upminster Bridge,51.558056,0.234722,6,RM14 3RJ,-,-
583,Upminster,51.559167,0.251389,6,RM14 2TH,"Upminster Windmill
Tithe Barn Museum",Historic windmill and medieval barn
584,Ockendon,51.547778,0.293056,6,RM15 6ST,-,-
585,Chafford Hundred,51.485555,0.287476,7,RM16 6QQ,-,Modern new town development
586,Purfleet,51.491667,0.234444,6,RM19 1TH,-,-
587,Rainham,51.516667,0.190278,6,RM13 9XY,-,-
588,Dagenham Dock,51.526287,0.145031,5,RM9 6RA,-,-
589,Thames Haven,51.514444,0.348333,7,SS17 9DH,-,-
590,Stanford-le-Hope,51.521111,0.425,8,SS17 0PH,-,-
591,East Tilbury,51.470833,0.434167,8,RM18 8QY,-,-
592,Tilbury Town,51.458611,0.354444,6,RM18 7HS,-,Historic fort
593,Grays,51.476389,0.324722,6,RM17 6NB,-,-
594,Lakeside,51.486944,0.290556,6,RM20 2ZP,Lakeside Shopping Centre,-
595,Chafford Hundred,51.485555,0.287476,7,RM16 6QQ,-,Modern new town development
596,Ockendon,51.547778,0.293056,6,RM15 6ST,-,-
597,West Horndon,51.549444,0.337222,7,CM13 3XD,-,-
598,Laindon,51.569722,0.419444,7,SS15 6DH,-,-
599,Basildon,51.574444,0.457778,7,SS14 1AX,-,Post-war new town
600,Pitsea,51.565833,0.501389,8,SS13 3HQ,-,-
601,Benfleet,51.543056,0.5625,8,SS7 1ND,-,-
602,Leigh-on-Sea,51.536944,0.646944,8,SS9 1RG,-,Victorian seaside resort
603,Chalkwell,51.535556,0.680278,8,SS12 9DE,-,-
604,Westcliff,51.541111,0.701111,8,SS0 7RA,-,-
605,Southend Central,51.541667,0.711667,8,SS1 1LX,-,Victorian seaside resort and pier
606,Southend East,51.543611,0.724444,8,SS2 4UH,-,-
607,Thorpe Bay,51.539167,0.768056,8,SS1 3BZ,-,-
608,Shoeburyness,51.534167,0.793333,9,SS3 9BD,-,-
609,Fenchurch Street,51.511944,-0.083333,1,EC3M 4AJ,-,Historic City terminus
610,Limehouse,51.512222,-0.040556,2,E14 8DA,St Anne's Limehouse church,Historic Hawksmoor church
611,West India Quay,51.507222,-0.020556,2,E14 4QZ,Museum of London Docklands,Historic dock and museum
612,Canary Wharf,51.503578,-0.019467,2,E14 4QS,"One Canada Square
Museum of London Docklands",Serves UK's second largest financial district
613,Heron Quays,51.502857,-0.021875,2,E14 4JB,-,Canary Wharf business district
614,South Quay,51.500833,-0.019722,2,E14 9SH,-,Canary Wharf area
615,Crossharbour,51.495840,-0.014933,2,E14 8AD,Mudchute Park and Farm,Urban farm in London's Docklands
616,Mudchute,51.492222,-0.015,2,E14 3HP,Mudchute Park and Farm,Largest city farm in London
617,Island Gardens,51.487033,-0.010358,2,E14 3FA,Greenwich foot tunnel,Foot tunnel under Thames to Greenwich
618,Cutty Sark for Maritime Greenwich,51.481944,-0.010582,2,SE10 9SW,"Cutty Sark
National Maritime Museum
Royal Observatory
Greenwich Park",Home of Greenwich Mean Time and Prime Meridian
619,Greenwich,51.481944,-0.010582,2,SE10 9SW,"Cutty Sark
National Maritime Museum
Royal Observatory
Greenwich Park",UNESCO World Heritage Site
620,Deptford Bridge,51.474477,-0.022052,2,SE10 8BU,-,-
621,Elverson Road,51.468372,-0.016816,2,SE8 4LA,-,-
622,Lewisham,51.465556,-0.014444,2,SE13 7EP,-,Major shopping center
623,Westcombe Park,51.482778,0.004167,3,SE3 7RN,-,-
624,Maze Hill,51.483056,0.004444,3,SE3 7UD,-,-
625,Greenwich,51.481944,-0.010582,2,SE10 9SW,"Cutty Sark
National Maritime Museum
Royal Observatory
Greenwich Park",UNESCO World Heritage Site
626,Blackheath,51.465408,0.008337,3,SE3 9LE,"Blackheath Common
Ranger's House",Historic heath with Georgian terraces
627,Lee,51.449167,0.009167,4,SE12 8RJ,-,-
628,Mottingham,51.434167,0.044444,4,SE9 4QZ,-,-
629,New Eltham,51.433889,0.056667,4,SE9 2QY,-,-
630,Sidcup,51.432222,0.103611,5,DA14 6BQ,-,-
631,Albany Park,51.435815816166304,0.126444638720462,5,DA5 3HP,-,-
632,Bexley,51.440815,0.148204,6,DA5 1AQ,Danson Park and House,Historic market town with Georgian architecture
633,Crayford,51.448547,0.178503,6,DA1 3PY,-,-
634,Dartford,51.446944,0.214167,7,DA1 1BP,-,Historic market town
635,Stone Crossing,51.458056,0.243333,7,DA2 6QF,-,-
636,Greenhithe,51.448333,0.290556,7,DA9 9AF,-,-
637,Swanscombe,51.446111,0.306944,7,DA10 0BA,-,-
638,Northfleet,51.441944,0.322222,7,DA11 9DH,-,-
639,Gravesend,51.441667,0.370833,7,DA12 2ET,-,Historic town on River Thames
640,Higham,51.424167,0.433333,8,ME3 7BH,-,-
641,Strood,51.393056,0.477222,8,ME2 4UZ,-,-
642,Rochester,51.383889,0.504167,8,ME1 1XN,Rochester Castle,Historic cathedral city and castle
643,Chatham,51.379167,0.531389,8,ME4 4JH,Historic Dockyard,Naval heritage and maritime museum
644,Gillingham,51.388056,0.550278,8,ME7 1XN,-,-
645,Rainham,51.366944,0.608611,8,ME8 7RU,-,-
646,Newington,51.351944,0.693056,8,ME9 7JY,-,-
647,Sittingbourne,51.341111,0.732778,8,ME10 3DW,-,Market town
648,Teynham,51.331111,0.804167,8,ME9 9BG,-,-
649,Faversham,51.314167,0.891667,8,ME13 7DT,-,Historic market town and brewery
650,Selling,51.293889,0.969167,8,ME13 9RQ,-,-
651,Canterbury East,51.270556,1.086111,9,CT1 1BB,Canterbury Cathedral,UNESCO World Heritage cathedral city
652,Canterbury West,51.280833,1.087222,9,CT2 8AN,Canterbury Cathedral,Historic cathedral city